open_datetime,close_datetime,spread_side,grid_level,entry_spread,take_profit_spread,xau_open_price,xau_open_direction,xaut_open_price,xaut_open_direction,xau_open_amount,xaut_open_amount,xau_close_price,xau_close_direction,xaut_close_price,xaut_close_direction,fee,pnl
2025-12-12 15:26:00,2025-12-12 15:53:00,SHORT_SPREAD,14.0,14.0,11.0,4326.05,SELL,4311.55,BUY,51912.600000000006,51738.600000000006,4324.55,BUY,4313.05,SELL,24.876288000000002,11.123711999999998
2025-12-13 14:40:00,2025-12-13 23:11:00,SHORT_SPREAD,14.0,14.0,11.0,4313.43,SELL,4299.4,BUY,51761.16,51592.799999999996,4311.93,BUY,4300.9,SELL,24.8049504,11.1950496
2025-12-14 00:31:00,2025-12-14 02:48:00,SHORT_SPREAD,14.0,14.0,11.0,4316.74,SELL,4302.599999999999,BUY,51800.88,51631.2,4315.24,BUY,4304.099999999999,SELL,24.8236992,11.1763008
2025-12-14 07:26:00,2025-12-14 23:11:00,SHORT_SPREAD,14.0,14.0,11.0,4318.84,SELL,4304.5,BUY,51826.08,51654.0,4317.34,BUY,4306.0,SELL,24.8352192,11.164780799999999
2025-12-15 12:32:00,2025-12-15 16:01:00,SHORT_SPREAD,14.0,14.0,11.0,4359.95,SELL,4346.0,BUY,52319.399999999994,52152.0,4358.45,BUY,4347.5,SELL,25.073135999999998,10.926864000000002
2025-12-16 14:37:00,2025-12-16 15:24:00,SHORT_SPREAD,14.0,14.0,11.0,4338.99,SELL,4324.7,BUY,52067.88,51896.399999999994,4337.49,BUY,4326.2,SELL,24.951427199999998,11.048572800000002
2025-12-16 15:55:00,2025-12-16 21:17:00,SHORT_SPREAD,14.0,14.0,11.0,4336.42,SELL,4322.2,BUY,52037.04,51866.399999999994,4334.92,BUY,4323.7,SELL,24.9368256,11.063174400000001
2025-12-17 15:32:00,2025-12-17 17:53:00,SHORT_SPREAD,14.0,14.0,11.0,4357.95,SELL,4343.9,BUY,52295.399999999994,52126.799999999996,4356.45,BUY,4345.4,SELL,25.061327999999996,10.938672000000004
2025-12-17 20:47:00,2025-12-18 01:58:00,SHORT_SPREAD,14.0,14.0,11.0,4356.9,SELL,4342.2,BUY,52282.799999999996,52106.399999999994,4355.4,BUY,4343.7,SELL,25.053407999999997,10.946592000000003
2025-12-20 13:09:00,2025-12-21 02:33:00,LONG_SPREAD,5.0,5.0,8.0,4349.44,BUY,4344.3,SELL,52193.28,52131.600000000006,4350.94,SELL,4342.8,BUY,25.0379712,10.962028799999999
2025-12-21 12:42:00,2025-12-21 23:06:00,SHORT_SPREAD,14.0,14.0,11.0,4358.33,SELL,4344.4,BUY,52299.96,52132.799999999996,4356.83,BUY,4345.9,SELL,25.063862399999998,10.936137600000002
2025-12-22 02:16:00,2025-12-22 02:31:00,SHORT_SPREAD,14.0,14.0,11.0,4392.41,SELL,4378.599999999999,BUY,52708.92,52543.2,4390.91,BUY,4380.099999999999,SELL,25.260508799999997,10.739491200000003
2025-12-22 03:51:00,2025-12-22 04:28:00,SHORT_SPREAD,14.0,14.0,11.0,4406.86,SELL,4392.7,BUY,52882.31999999999,52712.399999999994,4405.36,BUY,4394.2,SELL,25.342732799999997,10.657267200000003
2025-12-22 06:05:00,2025-12-23 04:58:00,SHORT_SPREAD,14.0,14.0,11.0,4414.1,SELL,4400.2,BUY,52969.200000000004,52802.399999999994,4412.6,BUY,4401.7,SELL,25.385184000000002,10.614815999999998
2025-12-23 07:01:00,2025-12-23 13:11:00,SHORT_SPREAD,14.0,14.0,11.0,4497.18,SELL,4482.9,BUY,53966.16,53794.799999999996,4495.68,BUY,4484.4,SELL,25.8626304,10.1373696
2025-12-23 17:22:00,2025-12-24 02:16:00,SHORT_SPREAD,14.0,14.0,11.0,4492.3,SELL,4478.3,BUY,53907.600000000006,53739.600000000006,4490.8,BUY,4479.8,SELL,25.835328000000004,10.164671999999996
2025-12-24 03:00:00,2025-12-24 06:03:00,SHORT_SPREAD,14.0,14.0,11.0,4494.66,SELL,4480.599999999999,BUY,53935.92,53767.2,4493.16,BUY,4482.099999999999,SELL,25.8487488,10.1512512
2025-12-24 12:23:00,2025-12-24 13:24:00,SHORT_SPREAD,14.0,14.0,11.0,4511.15,SELL,4496.9,BUY,54133.799999999996,53962.799999999996,4509.65,BUY,4498.4,SELL,25.943184,10.056816000000001
2025-12-24 20:27:00,2025-12-25 03:44:00,SHORT_SPREAD,14.0,14.0,11.0,4496.2,SELL,4482.4,BUY,53954.399999999994,53788.799999999996,4494.7,BUY,4483.9,SELL,25.858368,10.141632000000001
2025-12-25 10:05:00,2025-12-26 01:06:00,SHORT_SPREAD,14.0,14.0,11.0,4498.21,SELL,4483.599999999999,BUY,53978.520000000004,53803.2,4496.71,BUY,4485.099999999999,SELL,25.867612800000003,10.132387199999997
2025-12-26 08:50:00,2025-12-27 01:08:00,SHORT_SPREAD,14.0,14.0,11.0,4536.29,SELL,4522.2,BUY,54435.479999999996,54266.399999999994,4534.79,BUY,4523.7,SELL,26.088451199999998,9.911548800000002
2025-12-27 06:16:00,2025-12-29 04:05:00,SHORT_SPREAD,14.0,14.0,11.0,4553.91,SELL,4539.0,BUY,54646.92,54468.0,4552.41,BUY,4540.5,SELL,26.1875808,9.8124192
2025-12-29 06:01:00,2025-12-29 08:58:00,SHORT_SPREAD,14.0,14.0,11.0,4519.98,SELL,4505.099999999999,BUY,54239.759999999995,54061.2,4518.48,BUY,4506.599999999999,SELL,25.992230399999997,10.007769600000003
2025-12-29 13:47:00,2025-12-29 14:16:00,SHORT_SPREAD,14.0,14.0,11.0,4441.5,SELL,4426.9,BUY,53298.0,53122.799999999996,4440.0,BUY,4428.4,SELL,25.540992,10.459008
2025-12-29 14:42:00,2025-12-29 14:46:00,SHORT_SPREAD,14.0,14.0,11.0,4384.7,SELL,4370.4,BUY,52616.399999999994,52444.799999999996,4383.2,BUY,4371.9,SELL,25.214687999999995,10.785312000000005
2025-12-29 15:22:00,2025-12-29 16:12:00,SHORT_SPREAD,14.0,14.0,11.0,4340.57,SELL,4325.4,BUY,52086.84,51904.799999999996,4339.07,BUY,4326.9,SELL,24.9579936,11.042006400000002
2025-12-29 17:13:00,2025-12-29 21:24:00,SHORT_SPREAD,14.0,14.0,11.0,4352.81,SELL,4338.7,BUY,52233.72,52064.399999999994,4351.31,BUY,4340.2,SELL,25.0315488,10.9684512
2025-12-29 22:19:00,2025-12-29 22:30:00,SHORT_SPREAD,14.0,14.0,11.0,4354.73,SELL,4340.8,BUY,52256.759999999995,52089.600000000006,4353.23,BUY,4342.3,SELL,25.043126400000002,10.956873599999998
2025-12-31 03:35:00,2025-12-31 04:44:00,LONG_SPREAD,5.0,5.0,8.0,4362.68,BUY,4357.7,SELL,52352.16,52292.399999999994,4364.18,SELL,4356.2,BUY,25.114694399999998,10.885305600000002
2025-12-31 05:03:00,2025-12-31 05:55:00,LONG_SPREAD,5.0,5.0,8.0,4347.06,BUY,4342.0,SELL,52164.72,52104.0,4348.56,SELL,4340.5,BUY,25.0244928,10.9755072
2025-12-31 06:17:00,2025-12-31 06:57:00,LONG_SPREAD,5.0,5.0,8.0,4310.28,BUY,4305.400000000001,SELL,51723.36,51664.8,4311.78,SELL,4303.900000000001,BUY,24.813158400000003,11.186841599999997
2026-01-01 01:18:00,2026-01-01 03:56:00,LONG_SPREAD,5.0,5.0,8.0,4338.44,BUY,4333.3,SELL,52061.28,51999.600000000006,4339.94,SELL,4331.8,BUY,24.974611200000002,11.025388799999998
2026-01-01 04:25:00,2026-01-01 07:05:00,LONG_SPREAD,5.0,5.0,8.0,4341.79,BUY,4336.900000000001,SELL,52101.479999999996,52042.8,4343.29,SELL,4335.400000000001,BUY,24.9946272,11.0053728
2026-01-01 10:04:00,2026-01-01 12:01:00,LONG_SPREAD,5.0,5.0,8.0,4343.65,BUY,4338.7,SELL,52123.799999999996,52064.399999999994,4345.15,SELL,4337.2,BUY,25.005167999999998,10.994832000000002
2026-01-01 21:28:00,2026-01-01 23:32:00,LONG_SPREAD,5.0,5.0,8.0,4336.64,BUY,4331.7,SELL,52039.68000000001,51980.399999999994,4338.14,SELL,4330.2,BUY,24.9648192,11.0351808
2026-01-02 00:55:00,2026-01-02 06:06:00,LONG_SPREAD,5.0,5.0,8.0,4361.73,BUY,4356.8,SELL,52340.759999999995,52281.600000000006,4363.23,SELL,4355.3,BUY,25.1093664,10.890633600000001
2026-01-02 09:11:00,2026-01-02 13:51:00,LONG_SPREAD,5.0,5.0,8.0,4400.91,BUY,4395.8,SELL,52810.92,52749.600000000006,4402.41,SELL,4394.3,BUY,25.3345248,10.6654752
2026-01-02 16:11:00,2026-01-02 19:07:00,LONG_SPREAD,5.0,5.0,8.0,4340.2,BUY,4335.400000000001,SELL,52082.399999999994,52024.8,4341.7,SELL,4333.900000000001,BUY,24.985728,11.014271999999998
2026-01-02 22:01:00,2026-01-03 08:10:00,LONG_SPREAD,5.0,5.0,8.0,4339.28,BUY,4334.7,SELL,52071.36,52016.399999999994,4340.78,SELL,4333.2,BUY,24.9810624,11.018937600000001
2026-01-03 11:10:00,2026-01-03 12:32:00,SHORT_SPREAD,14.0,14.0,11.0,4368.3,SELL,4354.2,BUY,52419.600000000006,52250.399999999994,4366.8,BUY,4355.7,SELL,25.120800000000003,10.879199999999997
2026-01-03 13:40:00,2026-01-03 15:33:00,SHORT_SPREAD,14.0,14.0,11.0,4367.01,SELL,4353.0,BUY,52404.12,52236.0,4365.51,BUY,4354.5,SELL,25.1136288,10.8863712
2026-01-03 15:46:00,2026-01-04 05:33:00,SHORT_SPREAD,14.0,14.0,11.0,4357.78,SELL,4343.7,BUY,52293.36,52124.399999999994,4356.28,BUY,4345.2,SELL,25.0602624,10.9397376
2026-01-04 05:45:00,2026-01-04 09:18:00,SHORT_SPREAD,14.0,14.0,11.0,4349.13,SELL,4335.3,BUY,52189.56,52023.600000000006,4347.63,BUY,4336.8,SELL,25.0111584,10.9888416
