datetime,open_time,spread,leg1_qty,leg2_qty,equity,leg1_notional,leg2_notional,total_mm,margin_ratio,drawdown
2026-05-02 02:01:00+00:00,1777687260000,14.159999999999854,-6.0,6.0,10551.621320199953,276.8766,27.6027,0.0,inf,-0.012919295182011625
2026-05-02 02:02:00+00:00,1777687320000,14.319999999999709,-6.0,6.0,10550.661320199953,276.87719999999996,27.6018,0.0,inf,-0.013009101046709381
2026-05-02 02:03:00+00:00,1777687380000,14.13000000000011,-6.0,6.0,10551.801320199951,276.87600000000003,27.60282,0.0,inf,-0.012902456582380872
2026-05-02 02:04:00+00:00,1777687440000,14.160000000000764,-6.0,6.0,10551.621320199947,276.87600000000003,27.602639999999997,0.0,inf,-0.01291929518201207
2026-05-02 02:05:00+00:00,1777687500000,15.019999999999527,-6.0,6.0,10546.461320199955,276.87179999999995,27.597060000000003,0.0,inf,-0.013402001704762578
2026-05-02 02:06:00+00:00,1777687560000,15.140000000000327,-6.0,6.0,10545.74132019995,276.87,27.596159999999998,0.0,inf,-0.013469356103286478
2026-05-02 02:07:00+00:00,1777687620000,15.140000000000327,-6.0,6.0,10545.74132019995,276.87,27.596159999999998,0.0,inf,-0.013469356103286478
2026-05-02 02:08:00+00:00,1777687680000,15.140000000000327,-6.0,6.0,10545.74132019995,276.8706,27.59622,0.0,inf,-0.013469356103286478
2026-05-02 02:09:00+00:00,1777687740000,15.239999999999782,-6.0,6.0,10545.141320199953,276.8748,27.596040000000002,0.0,inf,-0.013525484768722285
2026-05-02 02:10:00+00:00,1777687800000,15.569999999999709,-6.0,6.0,10543.161320199953,276.8952,27.596100000000003,0.0,inf,-0.013710709364661677
2026-05-02 02:11:00+00:00,1777687860000,15.579999999999927,-6.0,6.0,10543.101320199952,276.8958,27.596100000000003,0.0,inf,-0.013716322231205447
2026-05-02 02:12:00+00:00,1777687920000,15.5600000000004,-6.0,6.0,10543.22132019995,276.8958,27.59622,0.0,inf,-0.013705096498118463
2026-05-02 02:13:00+00:00,1777687980000,15.550000000000182,-6.0,6.0,10543.28132019995,276.89459999999997,27.596159999999998,0.0,inf,-0.013699483631574694
2026-05-02 02:14:00+00:00,1777688040000,15.569999999999709,-6.0,6.0,10543.161320199953,276.89459999999997,27.596040000000002,0.0,inf,-0.013710709364661677
2026-05-02 02:15:00+00:00,1777688100000,16.160000000000764,-6.0,6.0,10539.621320199947,276.9612,27.599159999999998,0.0,inf,-0.014041868490735743
2026-05-02 02:16:00+00:00,1777688160000,16.300000000000182,-6.0,6.0,10538.78132019995,276.96840000000003,27.599040000000002,0.0,inf,-0.014120448622346071
2026-05-02 02:17:00+00:00,1777688220000,16.289999999999964,-6.0,6.0,10538.841320199952,276.9678,27.599040000000002,0.0,inf,-0.014114835755802302
2026-05-02 02:18:00+00:00,1777688280000,16.300000000000182,-6.0,6.0,10538.78132019995,276.9678,27.59898,0.0,inf,-0.014120448622346071
2026-05-02 02:19:00+00:00,1777688340000,16.279999999999745,-6.0,6.0,10538.901320199953,276.9678,27.599100000000004,0.0,inf,-0.014109222889258644
2026-05-02 02:20:00+00:00,1777688400000,16.289999999999964,-6.0,6.0,10538.841320199952,276.96840000000003,27.599100000000004,0.0,inf,-0.014114835755802302
2026-05-02 02:21:00+00:00,1777688460000,16.270000000000437,-6.0,6.0,10538.96132019995,276.9678,27.599159999999998,0.0,inf,-0.014103610022715318
2026-05-02 02:22:00+00:00,1777688520000,16.279999999999745,-6.0,6.0,10538.901320199953,276.969,27.59922,0.0,inf,-0.014109222889258644
2026-05-02 02:23:00+00:00,1777688580000,16.270000000000437,-6.0,6.0,10538.96132019995,276.9678,27.599159999999998,0.0,inf,-0.014103610022715318
2026-05-02 02:24:00+00:00,1777688640000,16.289999999999964,-6.0,6.0,10538.841320199952,276.96840000000003,27.599100000000004,0.0,inf,-0.014114835755802302
2026-05-02 02:25:00+00:00,1777688700000,16.270000000000437,-6.0,6.0,10538.96132019995,276.9678,27.599159999999998,0.0,inf,-0.014103610022715318
2026-05-02 02:26:00+00:00,1777688760000,16.270000000000437,-6.0,6.0,10538.96132019995,276.9678,27.599159999999998,0.0,inf,-0.014103610022715318
2026-05-02 02:27:00+00:00,1777688820000,16.299999999999272,-6.0,6.0,10538.781320199956,276.969,27.599100000000004,0.0,inf,-0.014120448622345516
2026-05-02 02:28:00+00:00,1777688880000,16.289999999999964,-6.0,6.0,10538.841320199952,276.96959999999996,27.59922,0.0,inf,-0.014114835755802302
2026-05-02 02:29:00+00:00,1777688940000,16.3100000000004,-6.0,6.0,10538.72132019995,276.96840000000003,27.59898,0.0,inf,-0.01412606148888984
2026-05-02 02:30:00+00:00,1777689000000,16.280000000000655,-6.0,6.0,10538.901320199948,276.96840000000003,27.599159999999998,0.0,inf,-0.014109222889259088
2026-05-02 02:31:00+00:00,1777689060000,16.269999999999527,-6.0,6.0,10538.961320199955,276.96659999999997,27.599040000000002,0.0,inf,-0.014103610022714874
2026-05-02 02:32:00+00:00,1777689120000,16.279999999999745,-6.0,6.0,10538.901320199953,276.9672,27.599040000000002,0.0,inf,-0.014109222889258644
2026-05-02 02:33:00+00:00,1777689180000,16.3100000000004,-6.0,6.0,10538.72132019995,276.96840000000003,27.59898,0.0,inf,-0.01412606148888984
2026-05-02 02:34:00+00:00,1777689240000,16.26000000000022,-6.0,6.0,10539.02132019995,276.9672,27.599159999999998,0.0,inf,-0.01409799715617166
2026-05-02 02:35:00+00:00,1777689300000,16.279999999999745,-6.0,6.0,10538.901320199953,276.9672,27.599040000000002,0.0,inf,-0.014109222889258644
2026-05-02 02:36:00+00:00,1777689360000,16.279999999999745,-6.0,6.0,10538.901320199953,276.9672,27.599040000000002,0.0,inf,-0.014109222889258644
2026-05-02 02:37:00+00:00,1777689420000,16.26000000000022,-6.0,6.0,10539.02132019995,276.9672,27.599159999999998,0.0,inf,-0.01409799715617166
2026-05-02 02:38:00+00:00,1777689480000,16.26000000000022,-6.0,6.0,10539.02132019995,276.9672,27.599159999999998,0.0,inf,-0.01409799715617166
2026-05-02 02:39:00+00:00,1777689540000,16.269999999999527,-6.0,6.0,10538.961320199955,276.9672,27.599100000000004,0.0,inf,-0.014103610022714874
2026-05-02 02:40:00+00:00,1777689600000,16.3100000000004,-6.0,6.0,10538.72132019995,276.96840000000003,27.59898,0.0,inf,-0.01412606148888984
2026-05-02 02:41:00+00:00,1777689660000,16.300000000000182,-6.0,6.0,10538.78132019995,276.96840000000003,27.599040000000002,0.0,inf,-0.014120448622346071
2026-05-02 02:42:00+00:00,1777689720000,16.270000000000437,-6.0,6.0,10538.96132019995,276.9678,27.599159999999998,0.0,inf,-0.014103610022715318
2026-05-02 02:43:00+00:00,1777689780000,16.26000000000022,-6.0,6.0,10539.02132019995,276.9672,27.599159999999998,0.0,inf,-0.01409799715617166
2026-05-02 02:44:00+00:00,1777689840000,16.270000000000437,-6.0,6.0,10538.96132019995,276.9678,27.599159999999998,0.0,inf,-0.014103610022715318
2026-05-02 02:45:00+00:00,1777689900000,16.279999999999745,-6.0,6.0,10538.901320199953,276.9672,27.599040000000002,0.0,inf,-0.014109222889258644
2026-05-02 02:46:00+00:00,1777689960000,16.270000000000437,-6.0,6.0,10538.96132019995,276.96840000000003,27.59922,0.0,inf,-0.014103610022715318
2026-05-02 02:47:00+00:00,1777690020000,16.25,-6.0,6.0,10539.081320199952,276.96659999999997,27.599159999999998,0.0,inf,-0.01409238428962789
2026-05-02 02:48:00+00:00,1777690080000,16.289999999999964,-6.0,6.0,10538.841320199952,276.96840000000003,27.599100000000004,0.0,inf,-0.014114835755802302
2026-05-02 02:49:00+00:00,1777690140000,16.270000000000437,-6.0,6.0,10538.96132019995,276.96840000000003,27.59922,0.0,inf,-0.014103610022715318
2026-05-02 02:50:00+00:00,1777690200000,16.100000000000364,-6.0,6.0,10539.98132019995,277.0098,27.60438,0.0,inf,-0.014008191291473793
2026-05-02 02:51:00+00:00,1777690260000,15.88000000000011,-6.0,6.0,10541.301320199951,277.0098,27.6057,0.0,inf,-0.013884708227514087
2026-05-02 02:52:00+00:00,1777690320000,15.920000000000073,-6.0,6.0,10541.061320199951,277.0134,27.60582,0.0,inf,-0.013907159693688498
2026-05-02 02:53:00+00:00,1777690380000,15.930000000000291,-6.0,6.0,10541.00132019995,277.0122,27.605639999999998,0.0,inf,-0.013912772560232267
2026-05-02 02:54:00+00:00,1777690440000,15.930000000000291,-6.0,6.0,10541.00132019995,277.0134,27.60576,0.0,inf,-0.013912772560232267
2026-05-02 02:55:00+00:00,1777690500000,15.920000000000073,-6.0,6.0,10541.061320199951,277.0122,27.6057,0.0,inf,-0.013907159693688498
2026-05-02 02:56:00+00:00,1777690560000,15.949999999999818,-6.0,6.0,10540.881320199953,277.01399999999995,27.6057,0.0,inf,-0.01392399829331925
2026-05-02 02:57:00+00:00,1777690620000,15.899999999999636,-6.0,6.0,10541.181320199954,277.0122,27.60582,0.0,inf,-0.01389593396060107
2026-05-02 02:58:00+00:00,1777690680000,15.909999999999854,-6.0,6.0,10541.121320199953,277.0122,27.60576,0.0,inf,-0.01390154682714484
2026-05-02 02:59:00+00:00,1777690740000,15.930000000000291,-6.0,6.0,10541.00132019995,277.0122,27.605639999999998,0.0,inf,-0.013912772560232267
2026-05-02 03:00:00+00:00,1777690800000,15.909999999999854,-6.0,6.0,10541.121320199953,277.0122,27.60576,0.0,inf,-0.01390154682714484
2026-05-02 03:01:00+00:00,1777690860000,15.949999999999818,-6.0,6.0,10540.881320199953,277.01399999999995,27.6057,0.0,inf,-0.01392399829331925
2026-05-02 03:02:00+00:00,1777690920000,15.930000000000291,-6.0,6.0,10541.00132019995,277.0134,27.60576,0.0,inf,-0.013912772560232267
2026-05-02 03:03:00+00:00,1777690980000,15.930000000000291,-6.0,6.0,10541.00132019995,277.0122,27.605639999999998,0.0,inf,-0.013912772560232267
2026-05-02 03:04:00+00:00,1777691040000,15.899999999999636,-6.0,6.0,10541.181320199954,277.0116,27.60576,0.0,inf,-0.01389593396060107
2026-05-02 03:05:00+00:00,1777691100000,15.760000000000218,-6.0,6.0,10542.02132019995,277.00199999999995,27.605639999999998,0.0,inf,-0.013817353828990742
2026-05-02 03:06:00+00:00,1777691160000,15.769999999999527,-6.0,6.0,10541.961320199955,277.00379999999996,27.60576,0.0,inf,-0.013822966695533956
2026-05-02 03:07:00+00:00,1777691220000,15.75,-6.0,6.0,10542.081320199952,277.0014,27.605639999999998,0.0,inf,-0.013811740962446972
2026-05-02 03:08:00+00:00,1777691280000,15.75,-6.0,6.0,10542.081320199952,277.0014,27.605639999999998,0.0,inf,-0.013811740962446972
2026-05-02 03:09:00+00:00,1777691340000,15.19000000000051,-6.0,6.0,10545.441320199949,276.9678,27.605639999999998,0.0,inf,-0.013497420436004659
2026-05-02 03:10:00+00:00,1777691400000,15.180000000000291,-6.0,6.0,10545.50132019995,276.9672,27.605639999999998,0.0,inf,-0.01349180756946089
2026-05-02 03:11:00+00:00,1777691460000,15.180000000000291,-6.0,6.0,10545.50132019995,276.9672,27.605639999999998,0.0,inf,-0.01349180756946089
2026-05-02 03:12:00+00:00,1777691520000,15.210000000000036,-6.0,6.0,10545.321320199952,276.96840000000003,27.605580000000003,0.0,inf,-0.013508646169091643
2026-05-02 03:13:00+00:00,1777691580000,15.180000000000291,-6.0,6.0,10545.50132019995,276.96840000000003,27.60576,0.0,inf,-0.01349180756946089
2026-05-02 03:14:00+00:00,1777691640000,15.200000000000728,-6.0,6.0,10545.381320199947,276.96840000000003,27.605639999999998,0.0,inf,-0.013503033302548428
2026-05-02 03:15:00+00:00,1777691700000,15.179999999999382,-6.0,6.0,10545.501320199955,276.96659999999997,27.605580000000003,0.0,inf,-0.013491807569460335
2026-05-02 03:16:00+00:00,1777691760000,15.19000000000051,-6.0,6.0,10545.441320199949,276.96840000000003,27.6057,0.0,inf,-0.013497420436004659
2026-05-02 03:17:00+00:00,1777691820000,15.210000000000036,-6.0,6.0,10545.321320199952,276.96840000000003,27.605580000000003,0.0,inf,-0.013508646169091643
2026-05-02 03:18:00+00:00,1777691880000,15.549999999999272,-6.0,6.0,10543.281320199956,276.98879999999997,27.605580000000003,0.0,inf,-0.01369948363157425
2026-05-02 03:19:00+00:00,1777691940000,15.550000000000182,-6.0,6.0,10543.28132019995,276.9894,27.605639999999998,0.0,inf,-0.013699483631574694
2026-05-02 03:20:00+00:00,1777692000000,15.539999999999964,-6.0,6.0,10543.341320199952,276.9894,27.6057,0.0,inf,-0.013693870765030924
2026-05-02 03:21:00+00:00,1777692060000,15.529999999999745,-6.0,6.0,10543.401320199953,276.9894,27.60576,0.0,inf,-0.013688257898487266
2026-05-02 03:22:00+00:00,1777692120000,15.519999999999527,-6.0,6.0,10543.461320199955,276.98879999999997,27.60576,0.0,inf,-0.013682645031943497
2026-05-02 03:23:00+00:00,1777692180000,15.520000000000437,-6.0,6.0,10543.46132019995,276.9876,27.605639999999998,0.0,inf,-0.013682645031944052
2026-05-02 03:24:00+00:00,1777692240000,15.55999999999949,-6.0,6.0,10543.221320199955,276.9894,27.605580000000003,0.0,inf,-0.013705096498117908
2026-05-02 03:25:00+00:00,1777692300000,15.550000000000182,-6.0,6.0,10543.28132019995,276.99,27.6057,0.0,inf,-0.013699483631574694
2026-05-02 03:26:00+00:00,1777692360000,15.550000000000182,-6.0,6.0,10543.28132019995,276.9894,27.605639999999998,0.0,inf,-0.013699483631574694
2026-05-02 03:27:00+00:00,1777692420000,15.539999999999964,-6.0,6.0,10543.341320199952,276.9894,27.6057,0.0,inf,-0.013693870765030924
2026-05-02 03:28:00+00:00,1777692480000,15.539999999999964,-6.0,6.0,10543.341320199952,276.9882,27.605580000000003,0.0,inf,-0.013693870765030924
2026-05-02 03:29:00+00:00,1777692540000,15.520000000000437,-6.0,6.0,10543.46132019995,276.9882,27.6057,0.0,inf,-0.013682645031944052
2026-05-02 03:30:00+00:00,1777692600000,15.539999999999964,-6.0,6.0,10543.341320199952,276.98879999999997,27.605639999999998,0.0,inf,-0.013693870765030924
2026-05-02 03:31:00+00:00,1777692660000,15.55999999999949,-6.0,6.0,10543.221320199955,276.9894,27.605580000000003,0.0,inf,-0.013705096498117908
2026-05-02 03:32:00+00:00,1777692720000,15.529999999999745,-6.0,6.0,10543.401320199953,276.9894,27.60576,0.0,inf,-0.013688257898487266
2026-05-02 03:33:00+00:00,1777692780000,15.519999999999527,-6.0,6.0,10543.461320199955,276.98879999999997,27.60576,0.0,inf,-0.013682645031943497
2026-05-02 03:34:00+00:00,1777692840000,15.5,-6.0,6.0,10543.581320199952,276.9882,27.60582,0.0,inf,-0.013671419298856513
2026-05-02 03:35:00+00:00,1777692900000,15.529999999999745,-6.0,6.0,10543.401320199953,276.99,27.60582,0.0,inf,-0.013688257898487266
2026-05-02 03:36:00+00:00,1777692960000,15.539999999999964,-6.0,6.0,10543.341320199952,276.9882,27.605580000000003,0.0,inf,-0.013693870765030924
2026-05-02 03:37:00+00:00,1777693020000,15.520000000000437,-6.0,6.0,10543.46132019995,276.9876,27.605639999999998,0.0,inf,-0.013682645031944052
2026-05-02 03:38:00+00:00,1777693080000,15.550000000000182,-6.0,6.0,10543.28132019995,276.9894,27.605639999999998,0.0,inf,-0.013699483631574694
2026-05-02 03:39:00+00:00,1777693140000,15.539999999999964,-6.0,6.0,10543.341320199952,276.98879999999997,27.605639999999998,0.0,inf,-0.013693870765030924
2026-05-02 03:40:00+00:00,1777693200000,15.5,-6.0,6.0,10543.581320199952,276.9882,27.60582,0.0,inf,-0.013671419298856513
2026-05-02 03:41:00+00:00,1777693260000,15.780000000000655,-6.0,6.0,10541.901320199948,277.0032,27.605639999999998,0.0,inf,-0.01382857956207817
2026-05-02 03:42:00+00:00,1777693320000,15.779999999999745,-6.0,6.0,10541.901320199953,277.0044,27.60576,0.0,inf,-0.013828579562077725
2026-05-02 03:43:00+00:00,1777693380000,15.779999999999745,-6.0,6.0,10541.901320199953,277.0044,27.60576,0.0,inf,-0.013828579562077725
2026-05-02 03:44:00+00:00,1777693440000,15.779999999999745,-6.0,6.0,10541.901320199953,277.00379999999996,27.6057,0.0,inf,-0.013828579562077725
2026-05-02 03:45:00+00:00,1777693500000,15.769999999999527,-6.0,6.0,10541.961320199955,277.00379999999996,27.60576,0.0,inf,-0.013822966695533956
2026-05-02 03:46:00+00:00,1777693560000,15.770000000000437,-6.0,6.0,10541.96132019995,277.0026,27.605639999999998,0.0,inf,-0.013822966695534511
2026-05-02 03:47:00+00:00,1777693620000,15.760000000000218,-6.0,6.0,10542.02132019995,277.00199999999995,27.605639999999998,0.0,inf,-0.013817353828990742
2026-05-02 03:48:00+00:00,1777693680000,15.80999999999949,-6.0,6.0,10541.721320199955,277.0044,27.605580000000003,0.0,inf,-0.013845418161708367
2026-05-02 03:49:00+00:00,1777693740000,15.80999999999949,-6.0,6.0,10541.721320199955,277.0044,27.605580000000003,0.0,inf,-0.013845418161708367
2026-05-02 03:50:00+00:00,1777693800000,15.770000000000437,-6.0,6.0,10541.96132019995,277.0026,27.605639999999998,0.0,inf,-0.013822966695534511
2026-05-02 03:51:00+00:00,1777693860000,15.75,-6.0,6.0,10542.081320199952,277.0026,27.60576,0.0,inf,-0.013811740962446972
2026-05-02 03:52:00+00:00,1777693920000,15.779999999999745,-6.0,6.0,10541.901320199953,277.00379999999996,27.6057,0.0,inf,-0.013828579562077725
2026-05-02 03:53:00+00:00,1777693980000,15.799999999999272,-6.0,6.0,10541.781320199956,277.00379999999996,27.605580000000003,0.0,inf,-0.013839805295164709
